"Object","Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM","CA DistanceNominal(LD/AU)","CA DistanceMinimum(LD/AU)","Vrelative(km/s)","Vinfinity(km/s)","Nsigma","H(mag)","ref","class"
"(2004 KB)","2016-Nov-10 13:33 ± 1_05:06","10.01/0.02572","8.72/0.02241","13.52","13.51","910","21.1","12","APO*"
"(2016 VA1)","2016-Nov-11 02:38 ±","11.24/0.02888","11.20/0.02878","19.03","19.02","650","23.6","3","APO*"
"(2016 VQ)","2016-Nov-11 10:21 ±","2.53/0.00651","2.51/0.00645","13.47","13.44","274","25.9","3","APO*"
"(2016 VZ)","2016-Nov-12 10:19 ±   00:01","3.06/0.00785","3.04/0.00782","9.79","9.76","437","25.9","3","APO*"
"(2016 VR)","2016-Nov-12 13:29 ±   00:10","6.17/0.01585","6.13/0.01575","9.76","9.74","364","26.3","1","APO*"
"(2016 VY1)","2016-Nov-12 15:13 ±   00:01","2.59/0.00665","2.57/0.00661","6.11","6.04","290","24.7","2","APO*"
"(2016 UN5)","2016-Nov-12 18:44 ±   00:02","18.84/0.04841","18.69/0.04803","4.88","4.87","289","25.0","5","APO*"
"(2016 VX1)","2016-Nov-13 21:11 ±   00:03","5.22/0.01342","5.11/0.01314","17.02","17.01","108","25.3","1","APO*"
"(2016 UB107)","2016-Nov-14 10:52 ±","8.38/0.02154","8.36/0.02148","4.90","4.87","653","25.1","1","APO*"
"(2016 UY56)","2016-Nov-18 06:23 ±","7.21/0.01852","7.19/0.01848","11.87","11.86","906","23.8","7","APO*"
"433953 (1997 XR2)","2016-Nov-18 15:05 ±","18.51/0.04756","18.51/0.04756","6.35","6.34","5.75e+05","20.8","42","APO*"
"(2016 VC1)","2016-Nov-22 02:48 ±   00:09","17.59/0.04520","17.33/0.04453","18.25","18.25","218","21.6","1","APO*"
"(2016 VS1)","2016-Nov-22 21:48 ±   00:04","19.27/0.04952","19.12/0.04914","5.14","5.13","175","25.9","1","ATE*"
"(2016 TD18)","2016-Dec-06 17:54 ±   00:03","17.84/0.04583","17.82/0.04578","6.29","6.28","2.5e+03","23.3","8","APO*"
"(2008 UL90)","2016-Dec-12 14:53 ±","15.23/0.03914","15.23/0.03914","13.15","13.15","1.69e+05","18.6","27","IEO*"
"(2015 YA)","2016-Dec-13 19:45 ±   00:14","9.61/0.02470","9.11/0.02340","8.00","7.99","3.73e+04","27.4","6","ATE*"
"(2015 XX169)","2016-Dec-13 20:23 ±","7.43/0.01909","7.20/0.01851","6.43","6.41","3.89e+03","27.4","4","ATE*"
"(2006 XD2)","2016-Dec-21 07:55 ±","18.86/0.04845","18.85/0.04844","13.59","13.58","5.15e+05","21.0","30","APO*"
"(2015 YQ1)","2016-Dec-21 16:09 ±   00:20","6.17/0.01585","5.58/0.01433","11.99","11.98","5.29e+04","28.0","7","APO*"
"(2012 YK)","2016-Dec-30 01:58 ±","16.87/0.04334","16.87/0.04334","10.51","10.50","4.35e+05","23.0","22","ATE*"
"226514 (2003 UX34)","2017-Jan-02 12:18 ±","19.03/0.04890","19.03/0.04890","20.65","20.65","2.77e+05","20.0","36","APO*"
"(2015 BB)","2017-Jan-18 08:36 ± 1_02:45","13.79/0.03543","13.40/0.03442","15.85","15.84","2.75e+04","24.9","3","APO*"
"(2005 VL1)","2017-Feb-04 09:20 ±   15:00","9.08/0.02334","3.52/0.00904","5.77","5.75","1.2e+04","27.0","12","ATE*"
"(2015 BN509)","2017-Feb-07 21:31 ±","16.21/0.04165","16.21/0.04165","19.37","19.37","3.8e+05","20.6","17","APO*"
"(2014 DV110)","2017-Feb-10 19:45 ±   17:21","9.85/0.02531","0.88/0.00225","7.95","7.94","4.6e+03","24.9","9","ATE*"
"(2015 QR3)","2017-Feb-12 11:42 ±   00:55","13.12/0.03371","12.65/0.03250","7.01","7.00","5e+04","25.7","5","APO*"
"(2016 CO246)","2017-Feb-22 02:06 ±   00:11","15.32/0.03937","15.30/0.03933","5.42","5.41","7.73e+04","25.9","8","APO*"
"5604 (1992 FE)","2017-Feb-24 10:03 ±","13.07/0.03360","13.07/0.03360","11.94","11.94","4.14e+05","17.2","98","ATE*"
"(2016 FU12)","2017-Feb-26 16:36 ±   00:37","16.25/0.04175","15.66/0.04024","3.88","3.86","396","26.9","3","APO*"
"(2012 DR32)","2017-Mar-02 16:52 ±   04:08","2.67/0.00687","2.26/0.00580","16.72","16.70","1.36e+04","24.6","5","ATE*"
"(2015 EF)","2017-Mar-10 03:40 ± 1_17:35","18.81/0.04834","2.26/0.00580","15.96","15.96","9.25e+03","26.8","4","APO*"
"(2012 EQ10)","2017-Mar-11 11:25 ± 2_10:23","17.33/0.04453","8.90/0.02288","7.68","7.67","1.02e+05","25.9","7","APO*"
"(1998 SL36)","2017-Mar-16 13:31 ±","8.34/0.02144","8.34/0.02143","14.82","14.82","9.38e+03","20.2","20","APO*"
"(2015 TC25)","2017-Mar-26 14:51 ±   00:06","7.63/0.01961","7.59/0.01951","3.31","3.27","3.14e+05","29.5","10","APO*"
"215588 (2003 HF2)","2017-Mar-28 19:43 ±","16.61/0.04268","16.61/0.04268","22.89","22.89","7.52e+04","19.4","59","APO*"
"(2014 UR)","2017-Apr-19 05:34 ±","18.74/0.04817","18.74/0.04817","4.39","4.38","4.6e+06","26.6","24","ATE*"
"(2014 JO25)","2017-Apr-19 12:24 ±","4.57/0.01175","4.57/0.01175","33.56","33.55","1.02e+05","18.1","21","APO*"
"(2015 VD1)","2017-May-07 23:07 ±   01:58","17.89/0.04598","16.08/0.04133","10.51","10.50","4.25e+04","25.1","11","APO*"
"(2012 EC)","2017-May-16 12:19 ±   00:26","19.45/0.04998","19.29/0.04957","4.54","4.52","6.08e+04","23.4","29","APO*"
"418094 (2007 WV4)","2017-Jun-01 12:09 ±","7.96/0.02045","7.96/0.02045","23.24","23.23","7.78e+04","19.3","31","APO*"
"(2010 VB1)","2017-Jun-16 05:20 ±   00:02","10.21/0.02624","10.21/0.02622","8.33","8.32","1.34e+05","23.2","16","APO*"
"471984 (2013 UE3)","2017-Jun-18 21:16 ±","19.03/0.04890","19.03/0.04889","7.69","7.68","1.82e+05","22.7","31","APO*"
"441987 (2010 NY65)","2017-Jun-24 06:38 ±","7.89/0.02028","7.89/0.02028","12.68","12.67","9.1e+06","21.5","67","ATE*"
"(2014 OA339)","2017-Aug-13 13:45 ± 1_06:31","12.66/0.03252","11.54/0.02964","10.12","10.11","5.35e+04","24.4","5","APO*"
"3122 Florence","2017-Sep-01 12:06 ±","18.38/0.04724","18.38/0.04724","13.53","13.53","4.38e+05","14.1","355","AMO*"
"(2014 RC)","2017-Sep-11 14:20 ±   00:07","15.10/0.03881","15.06/0.03870","8.92","8.92","7.83e+04","26.8","22","APO*"
